led,intensity,S,M,L,Rods,Mel
6,1235,2.6729023931162535e-07,8.8074580442595e-06,1.0294647592776076e-05,5.624410417762179e-06,3.6806711784510133e-06
6,1300,2.9435817172027757e-07,9.508847283744328e-06,1.1109626781871049e-05,6.075994088571186e-06,3.978057063280478e-06
6,1365,3.0218058772585857e-07,9.803989664673216e-06,1.145904459316221e-05,6.261774386731726e-06,4.098693284765815e-06
6,1430,3.1816313036480344e-07,1.0411348244267657e-05,1.2176168224611326e-05,6.647763645278046e-06,4.351260924601363e-06
6,1495,3.265777305809939e-07,1.070831684094557e-05,1.2527047917897522e-05,6.836646286058575e-06,4.475032231295058e-06
6,1560,3.4759398735871963e-07,1.137391019076891e-05,1.3299341540639985e-05,7.258569384257768e-06,4.748554328276327e-06
6,1625,3.5703878723538444e-07,1.168605715292175e-05,1.3667870718038547e-05,7.457255767304648e-06,4.878897112012222e-06
6,1690,3.70643959089172e-07,1.222827273405131e-05,1.4308086386596037e-05,7.802358674999316e-06,5.1046969554105955e-06
6,1755,3.918461199253973e-07,1.2830857126538947e-05,1.5004037501669997e-05,8.182323615715462e-06,5.349734737317908e-06
6,1820,3.992164207791405e-07,1.3082125980674688e-05,1.5299183730349067e-05,8.343485951122895e-06,5.455829395365761e-06
6,1885,4.164332831820345e-07,1.374811878888532e-05,1.6088573388667627e-05,8.762808419021716e-06,5.728443538709099e-06
6,1950,4.259235479634e-07,1.4075745342040735e-05,1.6477233655378474e-05,8.970336334156042e-06,5.8642645968461374e-06
6,2015,4.497627695125644e-07,1.4751384332581978e-05,1.7264899994096036e-05,9.39877526202857e-06,6.143122971661727e-06
6,2080,4.550294260810069e-07,1.4969665019648375e-05,1.7521560885820635e-05,9.537790530165153e-06,6.23393267181121e-06
6,2145,4.759726583312753e-07,1.5577425500226447e-05,1.8228190523313423e-05,9.922322134159617e-06,6.483399250517491e-06
6,2210,4.846565586624428e-07,1.592586921734818e-05,1.8643191574789897e-05,1.0139864652309606e-05,6.6240815821259124e-06
6,2275,5.016113108018464e-07,1.6578304155402815e-05,1.9415793400306262e-05,1.055176362665237e-05,6.892483442128555e-06
6,2340,5.064197389763642e-07,1.676373411342285e-05,1.9633868267246424e-05,1.0670121685780916e-05,6.9700019101849985e-06
